# gathered 2026-09-04T10:45:40.013318+00:00
filename|checksum|applied_by|applied_at|note
047_generated_reports.sql|3ea427b1f2af9297|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
048_admin_users.sql|a982f9610be3d877|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
049_admin_audit_log.sql|eb573e3323db51a3|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
050_btst_analytics.sql|0de2604de73257e6|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
051_guardrail_rules.sql|512239d4dd024c8c|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
052_portfolio_chat_sessions.sql|67ca7f5f8538c0b6|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
053_api_secret.sql|6056a196f7706f7f|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
054_position_last_entry_time.sql|9f279a403d3ce477|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
055_pnl_pct.sql|613b092fd5c869f1|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
056_quality_score_guardian.sql|b604f8625ed62252|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
057_discipline.sql|bcf5ef8e7fe0f80b|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
058_trading_session_unique_constraint.sql|a57cbfffc3511f98|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
059_position_unique_constraint.sql|39ca0a2e6bc9bff7|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
060_session_intent.sql|03f886266527c67e|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
061_admin_roles_totp.sql|a098c68a2373163c|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
062_broadcast_receipts.sql|d1866a8c0d81634a|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
063_engine_v2_phase0.sql|547d2d5663defd4d|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
064_behavior_events.sql|8d7dc2acae215ae0|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
065_constitution.sql|a4c5a734006c8653|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
065b_constitution_history_fix.sql|47ee54ca8bbc6702|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
066_event_idempotency.sql|2ab63616ca502fdb|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
067_partition_behavior_events.sql|a0e955fca1f599f9|adopt|2026-09-03 07:44:43.305281+00:00|structure applied originally; its 10 uncreated partitions were completed by 086 on 2026-09-03 - all 14 declared partitions now exist
068_detector_flags_and_shadow.sql|04966a20e92359b5|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
069_alert_feedback_and_mutes.sql|0d8e2aeea0420fec|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
070_data_quality_events.sql|2ce85e777e7097f0|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
071_admin_iam.sql|23964f5cd4544eeb|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
072_admin_login_events.sql|5e62940afd3833ca|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
073_admin_aggregate_indexes.sql|0fea54dee093ced5|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
074_admin_settings.sql|7bbb7216b0d9a81f|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
075_position_ledger_product.sql|005fce8d7cff0aef|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
076_live_alerts.sql|b49071d527e924cc|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
077_position_entry_price_source.sql|e5497f9a63fa57e9|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
078_terms_acceptance.sql|d8235a1ddbb5120d|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
079_alert_outcome_planned.sql|e665f999ff85ce68|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
080_account_risk_denominator.sql|dbf8b91b9491bf46|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
081_position_margin_observations.sql|846b2b09f7add598|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
082_per_trade_loss_limit.sql|3b028d7f9470bd73|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
083_drop_sl_percent_defaults.sql|05072affccdee986|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
084_drop_sl_percent_futures.sql|e20d762b8be6edb2|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
085_schema_migrations_ledger.sql|cc84b11d5d332cfc|runner|2026-09-03 06:55:03.185105+00:00|
086_extend_behavior_events_partitions.sql|b1be82eee62968f8|runner|2026-09-03 07:44:12.161364+00:00|
087_push_subscriptions_failed_count_integer.sql|e9932843d1a061e5|runner|2026-09-03 09:08:37.488574+00:00|
088_daily_trade_range.sql|a9b572717986fa1a|runner|2026-09-03 10:39:46.749556+00:00|
089_orders_stop_evidence_index.sql|be3869b018c3911a|runner|2026-09-03 12:27:17.696341+00:00|
090_partition_orders.sql|4efc08b3d151c3c4|runner|2026-09-03 16:55:49.904541+00:00|
091_monthly_snapshots.sql|69aa95a29a74c23e|runner|2026-09-03 17:40:10.518966+00:00|
092_repair_orders_partitions.sql|46477d8883f38c1e|runner|2026-09-04 05:51:47.771703+00:00|
093_protect_partitioned_tables.sql|6a614a279f323981|runner|2026-09-04 06:48:12.846038+00:00|
